"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"label.classSchedules","Class schedules","Horaires des cours","कक्षा अनुसूचियाँ","Orarul claselor","クラススケジュール","수업 일정","Графики класса","Horario de clases","课程时间表","جداول الفصل","Agenda da aula","Orari dei corsi"
"label.enquiries","Enquiries","Enquêtes","पूछताछ","Intrebari","お問い合わせ","문의","Запросы","Consultas","查询","استفسارات","Inquéritos","Richieste"
"label.guestPasses","Guest passes","Pass invités","अतिथि पास","Invitatii Guest","ゲストパス","게스트 패스","Гостевые пасы","Pases de invitados","客人通行证","يمر الضيف","Passes de convidados","Pass per Ospiti"
"label.locations","Locations","Emplacements","स्थानों","Locatii","場所","위치","Локации","Ubicación","位置","المواقع","Localizações","Sedi"
"label.memberReports","Member reports","Rapports des membres","सदस्य रिपोर्ट","Rapoarte membri","メンバーレポート","회원 보고서","Отчеты участников","Informes de miembros","会员报告","تقارير الأعضاء","Relatórios de membros","Rapporti dei clienti"
"label.members","Members","Membres","सदस्यों","Membri","メンバー","회원","Члены","Miembros","成员","أعضاء","Membros","Clienti"
"label.coupons","Coupons","Coupons","कूपन","Cupoane","クーポン","쿠폰","купоны","Cupones","优惠券","كوبونات","Cupons","Coupons"
"label.plans","Plans","Des plans","योजना","Planuri","予定","계획","Планы","Planes","计划","خطط","Planos","Piani di abbonamento"
"plural.announcements","announcements","annonces","घोषणाएं","Anunturi","発表","공지 사항","объявления","anuncios","公告","الإعلانات","anúncios","annunci"
"plural.classes","classes","Des classes","कक्षाओं","Clase","クラス","클래스","классы","clases","课程","الطبقات","Aulas","Corsi"
"plural.classSchedules","class schedules","horaires de cours","कक्षा कार्यक्रम","Orar clasa","クラススケジュール","수업 일정","Графики класса","horario de clases","课程时间表","جداول الفصل","Agenda da aula","Orari dei corsi"
"plural.enquiries","enquiries","demandes de renseignements","पूछताछ","Intrebari","お問い合わせ","문의","запросы","consultas","查询","استفسارات","inquéritos","richieste"
"plural.groups","groups","groupes","समूह","Grupuri","グループ","여러 떼","группа","grupos","组","مجموعات","grupos","gruppi"
"plural.guestPasses","guest passes","laissez-passer invités","अतिथि पास","Invitatie Guest","ゲストパス","게스트 패스","Гостевые пасы","pases de invitados","客人通行证","يمر الضيف","passes de convidados","pass per ospiti"
"plural.instructors","instructors","instructeurs","अनुदेशकों","Instructori","インストラクター","강사","инструкторы","instructores","讲师","المدربون","instrutores","istruttori"
"plural.locations","locations","Emplacements","स्थानों","Locatii","場所","위치","локации","ubicación","位置","المواقع","Localizações","sedi"
"plural.memberReports","member reports","rapports des membres","सदस्य रिपोर्ट","Rapoarte membri","メンバーレポート","회원 보고서","Отчеты участников","informes de miembros","会员报告","تقارير الأعضاء","Relatórios de membros","rapporti dei clienti"
"plural.members","members","membres","सदस्यों","Membri","メンバー","회원","члены","miembros","成员","أعضاء","membros","Clienti"
"plural.plans","plans","des plans","की योजना","Planuri","予定","계획","планы","planes","计划","خطط","planos","Piani di abbonamento"
"plural.products","products","des produits","उत्पादों","Produse","製品","제품","продукты","productos","产品","منتجات","produtos","prodotti"
"plural.schedules","schedules","des horaires","अनुसूचियों","orarele","スケジュール","일정","расписание","horario","时间表","جداول","horários","orari"
"plural.staff","staff","personnel","कर्मचारी","staff","スタッフ","직원","персонал","personal","职员","طاقم عمل","funcionários","personale"
"plural.tasks","tasks","Tâches","कार्य","Task","タスク","작업","задания","tareas","任务","مهام","tarefas","Tasks"
"plural.templates","templates","modèles","खाके","sablon","テンプレート","템플릿","шаблоны","plantillas","模板","قوالب","modelos","modelli"
"plural.coupons","coupons","coupons","कूपन","cupoane","クーポン","쿠폰","купоны","cupones","优惠券","كوبونات","cupons","Coupons"
"label.products","Products","Produits","उत्पाद","Produse","製品","제품","Продукты","Productos","产品","منتجات","Produtos","Prodotti"
"label.schedules","Schedules","Des horaires","अनुसूचियों","Programe","スケジュール","일정","Расписание","Horario","时间表","جداول","Horários","Orari"
"singular.announcement","announcement","annonce","घोषणा","Anunt","発表","발표","объявление","anuncio","公告","إعلان","anúncio","annuncio"
"singular.class","class","classe","कक्षा","Clasa","クラス","수업","сорт","clase","班级","فصل","aula","Corsi"
"singular.classSchedule","class schedule","horaire de cours","वर्ग अनुसूची","Orar clasa","時間割","수업 시간표","Расписание занятий","horario de clase","课程表","جدول الحصص","horário de aula","orario dei corsi"
"singular.enquiry","enquiry","enquête","जाँच करना","Intrebari","問い合わせ","문의","расследование","consulta","询问","سؤال","investigação","richiesta"
"singular.group","group","groupe","समूह","Grup","グループ","그룹","группа","grupo","团体","مجموعة","grupo","gruppo"
"singular.guestPass","guest pass","laissez-passer invité","अतिथि पास","Invitatie Guest","ゲストパス","게스트 패스","гостевой пропуск","pase de invitado","来宾通行证","ممر الضيف","Passe de convidado","pass per ospiti"
"singular.instructor","instructor","instructeur","प्रशिक्षक","Instructor","インストラクター","강사","инструктор","instructor","讲师","مدرب","instrutor","istruttore"
"singular.location","location","emplacement","जगह","Locatie","位置","위치","расположение","ubicación","地点","موقع","localização","sede"
"singular.member","member","membre","सदस्य","Membru","メンバー","회원","член","miembro","成员","عضو","membro","Cliente"
"singular.memberReport","member report","rapport de membre","सदस्य रिपोर्ट","Raport membru","メンバーレポート","회원 보고서","отчет участника","informe miembro","会员报告","تقرير الأعضاء","Relatório do membro","rapporto cliente"
"singular.plan","plan","plan","योजना","Plan","プラン","계획","план","plan","计划","يخطط","plano","piano"
"singular.coupon","coupon","coupon","कूपन","cupon","クーポン","쿠폰","купон","cupón","优惠券","قسيمة","cupom","Coupon"
"singular.product","product","produit","उत्पाद","Produs","製品","제품","продукт","producto","产品","منتج","produtos","prodotto"
"singular.registration","registration","inscription","पंजीकरण","Inregistrare","登録","등록","Регистрация","registro","登记","تسجيل","cadastro","registrazione"
"singular.schedule","schedule","emploi de temps","अनुसूची","program","スケジュール","일정","расписание","cronograma","日程","جدول","agendar","orario"
